GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore
1700001K19RIKL,299330,Acidosis,MESH:D000138,,Diethylhexyl Phthalate,3.54
1700001K19RIKL,299330,Acute Kidney Injury,MESH:D058186,,bisphenol A,18.6
1700001K19RIKL,299330,Acute Kidney Injury,MESH:D058186,,Blood Glucose,18.6
1700001K19RIKL,299330,Acute Kidney Injury,MESH:D058186,,Gentamicins,18.6
1700001K19RIKL,299330,Acute Kidney Injury,MESH:D058186,,Oxygen,18.6
1700001K19RIKL,299330,Acute Kidney Injury,MESH:D058186,,Particulate Matter,18.6
1700001K19RIKL,299330,Acute Lung Injury,MESH:D055371,,nickel monoxide,13.19
1700001K19RIKL,299330,Acute Lung Injury,MESH:D055371,,Oxygen,13.19
1700001K19RIKL,299330,Acute Lung Injury,MESH:D055371,,Particulate Matter,13.19
1700001K19RIKL,299330,Adenocarcinoma,MESH:D000230,,bisphenol A,6.65
1700001K19RIKL,299330,Adenocarcinoma,MESH:D000230,,bisphenol S,6.65
1700001K19RIKL,299330,Adenocarcinoma of Lung,MESH:D000077192,,Particulate Matter,2.83
1700001K19RIKL,299330,Adenoma,MESH:D000236,,Diethylhexyl Phthalate,7.88
1700001K19RIKL,299330,Adenoma,MESH:D000236,,Particulate Matter,7.88
1700001K19RIKL,299330,Adenomyosis,MESH:D062788,,bisphenol S,5.47
1700001K19RIKL,299330,Agranulocytosis,MESH:D000380,,Gentamicins,3.31
1700001K19RIKL,299330,Airway Obstruction,MESH:D000402,,Particulate Matter,3.34
1700001K19RIKL,299330,Airway Remodeling,MESH:D056151,,Particulate Matter,4.32
1700001K19RIKL,299330,Albuminuria,MESH:D000419,,bisphenol A,2.5
1700001K19RIKL,299330,Alkalosis,MESH:D000471,,Gentamicins,3.73
1700001K19RIKL,299330,"Alveolitis, Extrinsic Allergic",MESH:D000542,,Particulate Matter,4.44
1700001K19RIKL,299330,Alzheimer Disease,MESH:D000544,,Particulate Matter,2.75
1700001K19RIKL,299330,Anemia,MESH:D000740,,Gentamicins,6.71
1700001K19RIKL,299330,Anemia,MESH:D000740,,Particulate Matter,6.71
1700001K19RIKL,299330,"Anemia, Hemolytic",MESH:D000743,,Gentamicins,2.96
1700001K19RIKL,299330,"Anemia, Sickle Cell",MESH:D000755,,Oxygen,4.11
1700001K19RIKL,299330,Aneuploidy,MESH:D000782,,bisphenol A,9.41
1700001K19RIKL,299330,Aneuploidy,MESH:D000782,,Diethylhexyl Phthalate,9.41
1700001K19RIKL,299330,Angina Pectoris,MESH:D000787,,bisphenol A,2.54
1700001K19RIKL,299330,Angioedema,MESH:D000799,,Oxygen,3.25
1700001K19RIKL,299330,Anosmia,MESH:D000086582,,Particulate Matter,5.48
1700001K19RIKL,299330,Anovulation,MESH:D000858,,Diethylhexyl Phthalate,4.71
1700001K19RIKL,299330,Anuria,MESH:D001002,,Gentamicins,3.46
1700001K19RIKL,299330,Anxiety Disorders,MESH:D001008,,bisphenol A,22.41
1700001K19RIKL,299330,Anxiety Disorders,MESH:D001008,,bisphenol F,22.41
1700001K19RIKL,299330,Anxiety Disorders,MESH:D001008,,bisphenol S,22.41
1700001K19RIKL,299330,Anxiety Disorders,MESH:D001008,,Diethylhexyl Phthalate,22.41
1700001K19RIKL,299330,Anxiety Disorders,MESH:D001008,,Particulate Matter,22.41
1700001K19RIKL,299330,Aortic Diseases,MESH:D001018,,Gentamicins,3.72
1700001K19RIKL,299330,Arachnoiditis,MESH:D001100,,Gentamicins,4.29
1700001K19RIKL,299330,Arrest of spermatogenesis,MESH:C536875,,bisphenol A,13.38
1700001K19RIKL,299330,Arrest of spermatogenesis,MESH:C536875,,Oxygen,13.38
1700001K19RIKL,299330,"Arrhythmias, Cardiac",MESH:D001145,,bisphenol A,10.97
1700001K19RIKL,299330,"Arrhythmias, Cardiac",MESH:D001145,,Oxygen,10.97
1700001K19RIKL,299330,"Arrhythmias, Cardiac",MESH:D001145,,Particulate Matter,10.97
1700001K19RIKL,299330,"Arthritis, Infectious",MESH:D001170,,Gentamicins,4.13
1700001K19RIKL,299330,"Arthritis, Rheumatoid",MESH:D001172,,Oxygen,2.98
1700001K19RIKL,299330,Asthenia,MESH:D001247,,Particulate Matter,3.47
1700001K19RIKL,299330,Asthenozoospermia,MESH:D053627,,bisphenol A,9.15
1700001K19RIKL,299330,Asthenozoospermia,MESH:D053627,,Diethylhexyl Phthalate,9.15
1700001K19RIKL,299330,Asthma,MESH:D001249,,bisphenol A,6.71
1700001K19RIKL,299330,Asthma,MESH:D001249,,Particulate Matter,6.71
1700001K19RIKL,299330,Astrocytoma,MESH:D001254,,Particulate Matter,3.55
1700001K19RIKL,299330,Ataxia,MESH:D001259,,Gentamicins,2.77
1700001K19RIKL,299330,Atherosclerosis,MESH:D050197,,bisphenol A,12.21
1700001K19RIKL,299330,Atherosclerosis,MESH:D050197,,Oxygen,12.21
1700001K19RIKL,299330,Atherosclerosis,MESH:D050197,,Particulate Matter,12.21
1700001K19RIKL,299330,Atrial Fibrillation,MESH:D001281,,Particulate Matter,2.6
1700001K19RIKL,299330,Atrial Premature Complexes,MESH:D018880,,Particulate Matter,4.38
1700001K19RIKL,299330,Atrioventricular Block,MESH:D054537,,bisphenol A,2.58
1700001K19RIKL,299330,Atrophy,MESH:D001284,,bisphenol A,2.53
1700001K19RIKL,299330,Attention Deficit and Disruptive Behavior Disorders,MESH:D019958,,bisphenol A,3.59
1700001K19RIKL,299330,Attention Deficit Disorder with Hyperactivity,MESH:D001289,,bisphenol A,8.45
1700001K19RIKL,299330,Attention Deficit Disorder with Hyperactivity,MESH:D001289,,Particulate Matter,8.45
1700001K19RIKL,299330,Autism Spectrum Disorder,MESH:D000067877,,bisphenol A,6.22
1700001K19RIKL,299330,Autism Spectrum Disorder,MESH:D000067877,,Particulate Matter,6.22
1700001K19RIKL,299330,Autistic Disorder,MESH:D001321,,Particulate Matter,2.55
1700001K19RIKL,299330,Autoimmune Diseases,MESH:D001327,,bisphenol A,8.51
1700001K19RIKL,299330,Autoimmune Diseases,MESH:D001327,,Particulate Matter,8.51
1700001K19RIKL,299330,Azoospermia,MESH:D053713,,Diethylhexyl Phthalate,4.39
1700001K19RIKL,299330,Azotemia,MESH:D053099,,Gentamicins,3.42
1700001K19RIKL,299330,Bacteremia,MESH:D016470,,Gentamicins,3.74
1700001K19RIKL,299330,Bacterial Infections,MESH:D001424,,bisphenol A,8.7
1700001K19RIKL,299330,Bacterial Infections,MESH:D001424,,Gentamicins,8.7
1700001K19RIKL,299330,Bartter Syndrome,MESH:D001477,,Gentamicins,4.13
1700001K19RIKL,299330,Birth Weight,MESH:D001724,,bisphenol A,20.71
1700001K19RIKL,299330,Birth Weight,MESH:D001724,,bisphenol S,20.71
1700001K19RIKL,299330,Birth Weight,MESH:D001724,,Diethylhexyl Phthalate,20.71
1700001K19RIKL,299330,Birth Weight,MESH:D001724,,Particulate Matter,20.71
1700001K19RIKL,299330,Body Weight,MESH:D001835,,bisphenol A,3.01
1700001K19RIKL,299330,Body Weight Changes,MESH:D001836,,bisphenol A,3.07
1700001K19RIKL,299330,"Bone Diseases, Developmental",MESH:D001848,,bisphenol A,9.37
1700001K19RIKL,299330,"Bone Diseases, Developmental",MESH:D001848,,Particulate Matter,9.37
1700001K19RIKL,299330,Bone Resorption,MESH:D001862,,bisphenol A,2.95
1700001K19RIKL,299330,Bradycardia,MESH:D001919,,bisphenol A,15.03
1700001K19RIKL,299330,Bradycardia,MESH:D001919,,bisphenol F,15.03
1700001K19RIKL,299330,Bradycardia,MESH:D001919,,Oxygen,15.03
1700001K19RIKL,299330,Bradycardia,MESH:D001919,,Particulate Matter,15.03
1700001K19RIKL,299330,Brain Edema,MESH:D001929,,Blood Glucose,8.98
1700001K19RIKL,299330,Brain Edema,MESH:D001929,,Oxygen,8.98
1700001K19RIKL,299330,Brain Injuries,MESH:D001930,,bisphenol A,11.66
1700001K19RIKL,299330,Brain Injuries,MESH:D001930,,Diethylhexyl Phthalate,11.66
1700001K19RIKL,299330,Brain Injuries,MESH:D001930,,Particulate Matter,11.66
1700001K19RIKL,299330,Brain Ischemia,MESH:D002545,,Blood Glucose,8.08
1700001K19RIKL,299330,Brain Ischemia,MESH:D002545,,Oxygen,8.08
1700001K19RIKL,299330,Brain Neoplasms,MESH:D001932,,Particulate Matter,3.2
1700001K19RIKL,299330,Breast Diseases,MESH:D001941,,bisphenol A,3.72
1700001K19RIKL,299330,Breast Neoplasms,MESH:D001943,,bisphenol A,8.56
1700001K19RIKL,299330,Breast Neoplasms,MESH:D001943,,Diethylhexyl Phthalate,8.56
1700001K19RIKL,299330,Breast Neoplasms,MESH:D001943,,Oxygen,8.56
1700001K19RIKL,299330,Bronchial Hyperreactivity,MESH:D016535,,bisphenol A,9.0
1700001K19RIKL,299330,Bronchial Hyperreactivity,MESH:D016535,,Particulate Matter,9.0
1700001K19RIKL,299330,Bronchiolitis,MESH:D001988,,Particulate Matter,4.19
1700001K19RIKL,299330,"Bronchiolitis, Viral",MESH:D001990,,Particulate Matter,5.48
1700001K19RIKL,299330,Bronchitis,MESH:D001991,,Particulate Matter,3.74
1700001K19RIKL,299330,"Bronchitis, Chronic",MESH:D029481,,Particulate Matter,3.53
1700001K19RIKL,299330,Bronchopneumonia,MESH:D001996,,Particulate Matter,4.03
1700001K19RIKL,299330,Bronchopulmonary Dysplasia,MESH:D001997,,Oxygen,4.43
1700001K19RIKL,299330,Burns,MESH:D002056,,Gentamicins,3.96
1700001K19RIKL,299330,Calcium Metabolism Disorders,MESH:D002128,,Gentamicins,5.22
1700001K19RIKL,299330,Camptocormia,MESH:C537968,,bisphenol A,4.23
1700001K19RIKL,299330,Carcinoma,MESH:D002277,,Particulate Matter,2.63
1700001K19RIKL,299330,"Carcinoma, Ductal, Breast",MESH:D018270,,bisphenol A,3.37
1700001K19RIKL,299330,"Carcinoma, Hepatocellular",MESH:D006528,,Diethylhexyl Phthalate,2.5
1700001K19RIKL,299330,Carcinoma in Situ,MESH:D002278,,bisphenol A,4.23
1700001K19RIKL,299330,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,Oxygen,3.07
1700001K19RIKL,299330,"Cardiac Output, Low",MESH:D002303,,Oxygen,3.96
1700001K19RIKL,299330,Cardiomegaly,MESH:D006332,,bisphenol A,11.54
1700001K19RIKL,299330,Cardiomegaly,MESH:D006332,,Oxygen,11.54
1700001K19RIKL,299330,Cardiomegaly,MESH:D006332,,Particulate Matter,11.54
1700001K19RIKL,299330,Cardiomyopathies,MESH:D009202,,bisphenol A,11.31
1700001K19RIKL,299330,Cardiomyopathies,MESH:D009202,,Diethylhexyl Phthalate,11.31
1700001K19RIKL,299330,Cardiomyopathies,MESH:D009202,,Oxygen,11.31
1700001K19RIKL,299330,"Cardiomyopathy, Dilated",MESH:D002311,,bisphenol A,2.63
1700001K19RIKL,299330,"Cardiomyopathy, Hypertrophic",MESH:D002312,,bisphenol A,9.0
1700001K19RIKL,299330,"Cardiomyopathy, Hypertrophic",MESH:D002312,,Oxygen,9.0
1700001K19RIKL,299330,Cardiotoxicity,MESH:D066126,,Diethylhexyl Phthalate,3.22
1700001K19RIKL,299330,Cardiovascular Abnormalities,MESH:D018376,,Particulate Matter,3.4
1700001K19RIKL,299330,Cardiovascular Diseases,MESH:D002318,,bisphenol A,6.73
1700001K19RIKL,299330,Cardiovascular Diseases,MESH:D002318,,Particulate Matter,6.73
1700001K19RIKL,299330,Carotid Artery Diseases,MESH:D002340,,Particulate Matter,3.95
1700001K19RIKL,299330,Carotid Intimal Medial Thickness 1,MESH:C563733,,Particulate Matter,4.67
1700001K19RIKL,299330,Carotid Stenosis,MESH:D016893,,bisphenol A,3.57
1700001K19RIKL,299330,Cataract,MESH:D002386,,Particulate Matter,3.23
1700001K19RIKL,299330,"Cell Transformation, Neoplastic",MESH:D002471,,bisphenol A,6.41
1700001K19RIKL,299330,"Cell Transformation, Neoplastic",MESH:D002471,,Particulate Matter,6.41
1700001K19RIKL,299330,Cerebral Hemorrhage,MESH:D002543,,Blood Glucose,14.0
1700001K19RIKL,299330,Cerebral Hemorrhage,MESH:D002543,,Oxygen,14.0
1700001K19RIKL,299330,Cerebral Hemorrhage,MESH:D002543,,Particulate Matter,14.0
1700001K19RIKL,299330,Cerebral Infarction,MESH:D002544,,Blood Glucose,9.5
1700001K19RIKL,299330,Cerebral Infarction,MESH:D002544,,Oxygen,9.5
1700001K19RIKL,299330,Cerebrovascular Disorders,MESH:D002561,,Particulate Matter,3.4
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,bisphenol A,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,bisphenol F,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,bisphenol S,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,Blood Glucose,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,Diethylhexyl Phthalate,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,Oxygen,22.29
1700001K19RIKL,299330,Chemical and Drug Induced Liver Injury,MESH:D056486,,Particulate Matter,22.29
1700001K19RIKL,299330,Chemically-Induced Disorders,MESH:D064419,,bisphenol A,3.39
1700001K19RIKL,299330,Chest Pain,MESH:D002637,,Oxygen,8.34
1700001K19RIKL,299330,Chest Pain,MESH:D002637,,Particulate Matter,8.34
1700001K19RIKL,299330,Child Behavior Disorders,MESH:D002653,,bisphenol A,3.22
1700001K19RIKL,299330,Cholangitis,MESH:D002761,,Gentamicins,3.72
1700001K19RIKL,299330,Cholestasis,MESH:D002779,,Diethylhexyl Phthalate,2.81
1700001K19RIKL,299330,Chromosomal Instability,MESH:D043171,,bisphenol A,3.41
1700001K19RIKL,299330,Chromosome Aberrations,MESH:D002869,,bisphenol A,13.53
1700001K19RIKL,299330,Chromosome Aberrations,MESH:D002869,,bisphenol S,13.53
1700001K19RIKL,299330,Chromosome Aberrations,MESH:D002869,,Particulate Matter,13.53
1700001K19RIKL,299330,Chromosome Breakage,MESH:D019457,,bisphenol A,12.91
